=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 5, Norm bitsize: 254, Iterations: 500
GRAM prealloc (Phase 2 candidate B): ON
GRAM fp       (Phase 2 candidate C): OFF

Generating 500 random ideal lattice pairs (bitsize=254)...
Mode: alg2
  Set 1: 3983.10 ms
  Set 2: 4218.49 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
194  |   255 |    4312 |    7074     507    7074 |    1014     507    1014 |    0.1   23.5    0.9
195  |   255 |    4309 |    7084     507    7084 |    1014     507    1014 |    0.2   23.1    0.9
196  |   255 |    4312 |    7077     508    7077 |    1015     508    1015 |    0.1   24.1    0.9
197  |   255 |    4313 |    7071     510    7071 |    1021     510    1021 |    0.2   23.3    0.9
198  |   255 |    4292 |    7036     506    7036 |    1014     506    1014 |    0.1   22.6    0.9
199  |   254 |    4295 |    7071     506    7071 |    1011     506    1011 |    0.1   23.5    1.0
200  |   255 |    4299 |    7064     505    7064 |    1012     506    1012 |    0.1   23.8    0.9
201  |   255 |    4312 |    7092     507    7092 |    1015     507    1015 |    0.2   17.0    0.8
202  |   255 |    4321 |    7092     507    7092 |    1015     508    1015 |    0.2   23.8    0.9
203  |   255 |    4314 |    7080     507    7080 |    1014     507    1014 |    0.1   23.0    0.9
204  |   255 |    4288 |    6065     506    6065 |    1012     506    1012 |    0.2   17.8    0.8
205  |   255 |    4323 |    7094     508    7094 |    1016     508    1016 |    0.1   23.4    0.9
206  |   255 |    3289 |    7070     507    7070 |    1015     507    1015 |    0.2   17.2    0.8
207  |   255 |    4324 |    7094     508    7094 |    1017     508    1017 |    0.2   23.5    0.9
208  |   255 |    4309 |    6078     507    6078 |    1014     507    1014 |    0.2   17.5    0.8
209  |   255 |    4320 |    7086     509    7086 |    1017     509    1017 |    0.1   22.9    0.9
210  |   254 |    2759 |    6040     506    6040 |    1012     506    1012 |    0.1   17.1    0.8
211  |   253 |    4264 |    6041     505    6041 |    1010     505    1010 |    0.1   16.3    0.7
212  |   255 |    4310 |    7082     506    7082 |    1013     506    1013 |    0.2   22.8    0.9
213  |   255 |    4313 |    7080     507    7080 |    1015     507    1015 |    0.2   22.7    0.9
214  |   255 |    4304 |    7077     507    7077 |    1014     507    1014 |    0.1   23.0    0.9
215  |   254 |    3020 |    6060     506    6060 |    1012     506    1012 |    0.1   16.8    0.8
216  |   254 |    2791 |    7055     508    7055 |    1017     508    1017 |    0.2   18.0    0.8
217  |   255 |    4310 |    7068     506    7068 |    1013     506    1013 |    0.1   23.4    0.9
218  |   254 |    4291 |    7071     506    7071 |    1012     506    1012 |    0.2   22.4    0.9
219  |   254 |    4305 |    7071     506    7071 |    1013     507    1013 |    0.1   23.8    1.0
220  |   254 |    4311 |    7083     507    7083 |    1014     507    1014 |    0.1   23.5    0.9
221  |   255 |    2780 |    7063     507    7063 |    1014     507    1014 |    0.1   17.2    0.8
222  |   254 |    4301 |    7074     506    7074 |    1013     506    1013 |    0.2   23.5    0.9
223  |   254 |    4308 |    7072     506    7072 |    1014     507    1014 |    0.1   23.9    0.9
224  |   255 |    4324 |    7087     508    7087 |    1016     508    1016 |    0.2   22.9    0.9
225  |   254 |    4304 |    7077     507    7077 |    1013     507    1013 |    0.2   22.4    0.9
226  |   255 |    4315 |    7082     507    7082 |    1015     507    1015 |    0.2   22.7    0.9
227  |   255 |    3031 |    7086     507    7086 |    1015     507    1015 |    0.1   24.4    1.1
228  |   255 |    4316 |    7067     508    7067 |    1016     508    1016 |    0.2   23.7    0.9
229  |   255 |    4318 |    7089     508    7089 |    1017     508    1017 |    0.2   25.7    0.9
230  |   255 |    4314 |    7082     508    7082 |    1015     508    1015 |    0.2   27.3    1.3
231  |   255 |    4269 |    6044     506    6044 |    1013     506    1013 |    0.2   20.3    0.8
232  |   254 |    3018 |    7071     506    7071 |    1012     506    1012 |    0.2   23.6    0.9
233  |   255 |    4322 |    7088     507    7088 |    1015     507    1015 |    0.1   24.2    0.9
234  |   255 |    4317 |    7089     508    7089 |    1015     508    1015 |    0.2   23.4    0.9
235  |   255 |    4314 |    7068     507    7068 |    1014     507    1014 |    0.2   23.8    0.9
236  |   255 |    4310 |    7081     508    7081 |    1016     508    1016 |    0.1   22.8    0.9
237  |   255 |    4318 |    7084     507    7084 |    1015     507    1015 |    0.2   23.6    0.9
238  |   255 |    4321 |    7089     507    7089 |    1015     507    1015 |    0.1   22.9    0.9
239  |   255 |    3784 |    7078     508    7078 |    1016     508    1016 |    0.2   22.8    0.9
240  |   255 |    3799 |    7084     508    7084 |    1017     508    1017 |    0.2   17.8    0.8
241  |   254 |    4299 |    7070     506    7070 |    1012     506    1012 |    0.1   23.6    1.0
242  |   255 |    4312 |    7086     507    7086 |    1014     507    1014 |    0.1   23.7    0.9
243  |   255 |    4320 |    7084     508    7084 |    1017     508    1017 |    0.2   22.9    0.9
244  |   250 |    4217 |    5985     505    5985 |    1010     505    1010 |    0.1   17.2    0.8
245  |   255 |    2786 |    7087     507    7087 |    1014     507    1014 |    0.1   23.3    0.9
246  |   255 |    4321 |    7086     507    7086 |    1016     507    1016 |    0.2   23.2    0.9
247  |   255 |    4319 |    7087     507    7087 |    1014     507    1014 |    0.1   24.4    0.9
248  |   253 |    4282 |    6056     505    6056 |    1010     505    1010 |    0.2   16.9    0.8
249  |   254 |    4301 |    7072     506    7072 |    1013     506    1013 |    0.1   23.4    0.9
250  |   255 |    4301 |    7072     506    7072 |    1013     506    1013 |    0.1   22.1    0.9
251  |   255 |    4305 |    7079     507    7079 |    1015     507    1015 |    0.2   17.5    0.8
