=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 3, Norm bitsize: 193, Iterations: 500
GRAM prealloc (Phase 2 candidate B): OFF
GRAM fp       (Phase 2 candidate C): ON

Generating 500 random ideal lattice pairs (bitsize=193)...
Mode: alg2
  Set 1: 2035.81 ms
  Set 2: 2033.84 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
184  |   194 |    2687 |    5361     384    5361 |     767     384     767 |    0.1    9.9    2.4
185  |   194 |    2681 |    5364     385    5364 |     770     385     770 |    0.1   12.0    2.6
186  |   194 |    3285 |    5376     385    5376 |     770     385     770 |    0.1   12.6    2.8
187  |   194 |    3273 |    5366     384    5366 |     768     384     768 |    0.1   12.2    2.7
188  |   194 |    3284 |    5371     386    5371 |     771     386     771 |    0.1   12.7    2.7
189  |   194 |    3264 |    5353     383    5353 |     767     383     767 |    0.1   12.4    2.7
190  |   193 |    2087 |    4571     383    4571 |     766     383     766 |    0.1    9.2    2.3
191  |   193 |    3267 |    5362     384    5362 |     769     384     769 |    0.1   12.7    2.7
192  |   194 |    3286 |    5380     385    5380 |     770     385     770 |    0.1   13.1    2.8
193  |   194 |    3270 |    5356     384    5356 |     768     384     768 |    0.2   12.3    2.7
194  |   194 |    2119 |    5375     385    5375 |     771     385     771 |    0.1   12.9    2.8
195  |   193 |    2488 |    5348     384    5348 |     769     384     769 |    0.1    9.5    2.3
196  |   194 |    3259 |    5368     385    5368 |     769     385     769 |    0.2   12.5    2.7
197  |   194 |    3285 |    5380     386    5380 |     772     386     772 |    0.1   13.0    2.8
198  |   194 |    3282 |    5371     385    5371 |     770     385     770 |    0.1   12.6    2.7
199  |   194 |    2489 |    5376     385    5376 |     770     385     770 |    0.1    9.6    2.4
200  |   193 |    2087 |    4584     383    4584 |     767     383     767 |    0.1    9.1    2.3
201  |   193 |    3223 |    4570     383    4570 |     766     383     766 |    0.1    9.1    2.3
202  |   194 |    3287 |    5376     385    5376 |     771     385     771 |    0.1   12.9    2.8
203  |   194 |    3282 |    5367     385    5367 |     771     385     771 |    0.1   12.5    2.7
204  |   193 |    2685 |    5364     385    5364 |     769     385     769 |    0.1    9.7    2.4
205  |   194 |    3268 |    5350     384    5350 |     769     384     769 |    0.1   13.0    2.8
206  |   194 |    3282 |    5373     386    5373 |     771     386     771 |    0.1   12.6    2.8
207  |   194 |    2107 |    4604     386    4604 |     771     386     771 |    0.1    9.7    2.6
208  |   194 |    3277 |    5363     385    5363 |     770     385     770 |    0.1   12.6    2.7
209  |   194 |    3289 |    5384     386    5384 |     772     386     772 |    0.2    9.4    2.5
210  |   194 |    3283 |    5371     384    5371 |     769     385     769 |    0.1   13.3    2.8
211  |   194 |    3286 |    5377     385    5377 |     771     385     771 |    0.2   12.2    2.7
212  |   194 |    3252 |    4603     384    4603 |     768     384     768 |    0.2    9.2    2.3
213  |   194 |    2886 |    5379     385    5379 |     770     385     770 |    0.1    9.5    2.5
214  |   194 |    3279 |    5380     385    5380 |     770     385     770 |    0.1   12.3    2.7
215  |   193 |    3266 |    5354     384    5354 |     768     384     768 |    0.1   11.9    2.6
216  |   194 |    3266 |    5364     385    5364 |     769     385     769 |    0.1   12.8    2.7
217  |   194 |    3274 |    5373     385    5373 |     770     385     770 |    0.1   12.5    2.7
218  |   194 |    3286 |    5370     385    5370 |     771     386     771 |    0.1   12.9    2.7
219  |   194 |    3282 |    5377     385    5377 |     771     385     771 |    0.2   12.8    2.8
220  |   194 |    2507 |    5378     385    5378 |     770     385     770 |    0.2   13.3    2.7
221  |   194 |    3258 |    5356     385    5356 |     769     385     769 |    0.1   12.2    2.7
222  |   194 |    3277 |    5372     385    5372 |     770     385     770 |    0.2    9.6    2.4
223  |   194 |    3269 |    5362     385    5362 |     772     385     772 |    0.1   12.7    2.8
224  |   194 |    2292 |    4596     384    4596 |     768     384     768 |    0.1    9.6    2.4
225  |   192 |    3240 |    4588     383    4588 |     766     383     766 |    0.1    9.8    2.4
226  |   194 |    3272 |    5355     384    5355 |     768     384     768 |    0.1   12.8    2.7
227  |   194 |    2488 |    5369     384    5369 |     769     384     769 |    0.1   12.7    2.7
228  |   193 |    3270 |    4605     384    4605 |     769     384     769 |    0.1    9.1    2.4
229  |   194 |    3281 |    5377     385    5377 |     770     385     770 |    0.1   13.1    2.8
230  |   194 |    3291 |    5374     386    5374 |     773     386     773 |    0.1   12.7    2.7
231  |   194 |    2303 |    5377     385    5377 |     770     385     770 |    0.1   12.9    2.8
232  |   194 |    2494 |    5357     385    5357 |     770     385     770 |    0.1    9.1    2.3
233  |   194 |    3269 |    5368     386    5368 |     771     386     771 |    0.1    9.5    2.4
234  |   193 |    2281 |    4576     383    4576 |     767     383     767 |    0.1    9.4    2.3
235  |   194 |    3288 |    5377     386    5377 |     771     386     771 |    0.1   12.9    2.8
236  |   194 |    2302 |    5358     386    5358 |     772     386     772 |    0.1   12.5    2.7
237  |   193 |    3260 |    5359     384    5359 |     768     384     768 |    0.1   12.9    2.8
238  |   194 |    3258 |    5359     384    5359 |     768     384     768 |    0.2   12.3    2.6
239  |   194 |    3280 |    5370     385    5370 |     771     385     771 |    0.1   12.7    2.7
240  |   194 |    3283 |    5378     385    5378 |     770     385     770 |    0.1   12.6    2.8
241  |   194 |    3280 |    5363     385    5363 |     771     385     771 |    0.1   12.4    2.7
242  |   194 |    3272 |    5337     385    5337 |     774     385     774 |    0.1   12.4    2.7
243  |   194 |    3278 |    5368     385    5368 |     770     385     770 |    0.1   12.5    2.7
244  |   194 |    3217 |    4562     383    4562 |     767     383     767 |    0.1    9.5    2.3
245  |   191 |    3234 |    5322     386    5322 |     771     386     771 |    0.1    8.9    2.3
246  |   194 |    3276 |    5375     385    5375 |     770     385     770 |    0.2   12.2    2.6
247  |   194 |    3279 |    5378     385    5378 |     772     386     772 |    0.1    9.9    2.4
248  |   194 |    3283 |    5375     385    5375 |     771     385     771 |    0.1   12.7    2.7
249  |   193 |    3258 |    5347     383    5347 |     767     383     767 |    0.1   12.2    2.6
250  |   193 |    3253 |    5342     383    5342 |     767     383     767 |    0.1   12.5    2.7
251  |   194 |    3257 |    5364     385    5364 |     770     385     770 |    0.1   12.4    2.7
252  |   194 |    3239 |    5298     384    5298 |     768     384     768 |    0.1   12.8    2.8
253  |   194 |    3252 |    4600     384    4600 |     768     384     768 |    0.2    9.5    2.2
254  |   194 |    3280 |    5378     385    5378 |     771     385     771 |    0.1   12.2    2.7
255  |   194 |    2673 |    5357     384    5357 |     767     384     767 |    0.1    9.6    2.4
256  |   193 |    3270 |    5366     384    5366 |     768     384     768 |    0.1   11.9    2.7
257  |   194 |    3275 |    5361     384    5361 |     768     384     768 |    0.1   13.2    2.8
258  |   194 |    3278 |    5371     385    5371 |     770     385     770 |    0.1   12.2    2.8
259  |   193 |    3249 |    4595     383    4595 |     766     383     766 |    0.1    9.8    2.4
260  |   193 |    3255 |    5350     384    5350 |     768     384     768 |    0.1   12.1    2.6
261  |   194 |    2498 |    5372     385    5372 |     770     385     770 |    0.1   12.7    2.7
262  |   194 |    3287 |    5372     385    5372 |     771     385     771 |    0.1   12.6    2.7
263  |   194 |    3278 |    5373     385    5373 |     770     385     770 |    0.1   12.5    2.7
264  |   194 |    2497 |    5374     385    5374 |     770     385     770 |    0.1    9.4    2.3
265  |   194 |    3263 |    5341     385    5341 |     770     385     770 |    0.1   11.9    2.6
266  |   194 |    3290 |    5384     385    5384 |     771     385     771 |    0.1   12.4    2.7
267  |   193 |    2488 |    5359     384    5359 |     768     384     768 |    0.1   12.3    2.8
268  |   194 |    2120 |    5377     386    5377 |     772     386     772 |    0.1   12.7    2.8
269  |   194 |    3273 |    5367     385    5367 |     770     385     770 |    0.1   12.6    2.7
270  |   192 |    3214 |    5275     383    5275 |     766     383     766 |    0.1   11.8    2.8
271  |   194 |    3282 |    5376     385    5376 |     770     385     770 |    0.1   13.0    2.8
272  |   193 |    3254 |    5326     383    5326 |     768     383     768 |    0.2   12.1    2.7
273  |   193 |    2104 |    5358     384    5358 |     769     384     769 |    0.1   12.5    2.7
274  |   194 |    3286 |    5374     385    5374 |     770     385     770 |    0.1   13.1    2.8
275  |   194 |    3269 |    5364     385    5364 |     771     385     771 |    0.2   12.4    2.6
276  |   194 |    3288 |    5373     385    5373 |     770     385     770 |    0.1   12.8    2.8
277  |   194 |    3290 |    5368     386    5368 |     773     386     773 |    0.1   12.3    2.7
278  |   192 |    3222 |    4562     383    4562 |     765     383     765 |    0.2    9.1    2.3
279  |   194 |    3263 |    5343     389    5343 |     778     389     778 |    0.2    9.2    2.2
280  |   194 |    3289 |    5386     385    5386 |     771     386     771 |    0.1   12.2    2.7
281  |   194 |    3286 |    5379     385    5379 |     771     385     771 |    0.1   12.3    2.7
